iter	Passed	Remaining
458	798	942
459	799	940
460	800	938
461	801	935
462	803	933
463	804	931
464	806	929
465	807	927
466	808	924
467	809	922
468	810	919
469	812	917
470	813	915
471	817	916
472	818	913
473	819	911
474	820	908
475	823	908
476	824	905
477	825	903
478	826	900
479	827	898
480	829	896
481	830	894
482	831	892
483	833	890
484	835	888
485	837	887
486	839	886
487	841	884
488	842	881
489	844	880
490	846	878
491	847	876
492	848	874
493	849	872
494	852	871
495	853	868
496	854	867
497	856	865
498	857	863
499	858	860
500	860	858
501	862	856
502	863	854
503	864	852
504	865	849
505	866	847
506	867	845
507	868	843
508	870	840
509	871	838
510	872	836
511	873	833
512	874	831
513	875	829
514	877	828
515	878	826
516	880	823
517	881	821
518	882	819
519	890	823
520	892	822
521	894	820
522	895	817
523	896	815
524	897	813
525	898	811
526	900	809
527	901	807
528	902	805
529	904	803
530	905	801
531	907	800
532	909	797
533	910	796
534	911	794
535	912	791
536	914	790
537	916	788
538	917	786
539	918	783
540	919	781
541	921	780
542	923	778
543	924	776
544	925	774
545	927	772
546	928	770
547	929	768
548	932	767
549	934	766
550	936	764
551	937	762
552	938	760
553	939	757
554	941	756
555	942	753
556	943	752
557	945	750
558	946	748
559	948	746
560	949	744
561	950	742
562	952	740
563	953	738
564	954	736
565	956	734
566	957	732
567	958	730
568	959	728
569	961	726
570	962	724
571	964	722
572	964	720
573	966	718
574	967	716
575	968	714
576	970	712
577	971	710
578	972	708
579	973	706
580	975	704
581	976	702
582	977	700
583	978	698
584	980	696
585	981	694
586	984	694
587	986	692
588	988	690
589	989	688
590	990	686
591	991	684
592	992	682
593	995	681
594	996	679
595	997	677
596	998	675
597	999	673
598	1001	671
599	1002	669
600	1004	667
601	1005	666
602	1007	664
603	1008	662
604	1010	660
605	1012	659
606	1013	657
607	1014	655
608	1015	653
609	1017	651
610	1018	649
611	1019	647
612	1021	645
613	1022	643
614	1023	641
615	1024	639
616	1029	639
617	1030	637
618	1031	636
619	1033	634
620	1038	634
621	1039	632
622	1040	630
623	1044	630
624	1045	628
625	1046	626
626	1048	624
627	1050	623
628	1051	621
629	1052	619
630	1054	617
631	1056	616
632	1058	614
633	1060	612
634	1061	610
635	1062	608
636	1063	606
637	1064	604
638	1065	603
639	1067	601
640	1068	599
641	1069	597
642	1070	595
643	1071	593
644	1073	591
645	1074	589
646	1075	587
647	1076	585
648	1078	583
649	1079	582
650	1080	580
651	1082	578
652	1083	576
653	1084	574
654	1086	573
655	1087	570
656	1088	569
657	1090	567
658	1091	565
659	1092	563
660	1094	562
661	1095	560
662	1096	558
663	1098	556
664	1099	554
665	1100	552
666	1101	550
667	1103	549
668	1104	547
669	1106	545
670	1107	543
671	1108	541
672	1111	541
673	1113	539
674	1114	537
675	1115	535
676	1116	533
677	1117	531
678	1119	530
679	1120	528
680	1121	526
681	1122	524
682	1123	522
683	1125	520
684	1126	518
685	1128	517
686	1129	515
687	1130	513
688	1131	511
689	1133	509
690	1134	507
691	1135	506
692	1136	504
693	1137	502
694	1139	500
695	1140	498
696	1141	496
697	1142	495
698	1144	493
699	1145	491
700	1146	489
701	1148	488
702	1149	486
703	1150	484
704	1152	482
705	1153	481
706	1155	479
707	1156	477
708	1157	475
709	1159	474
710	1160	472
711	1161	470
712	1162	468
713	1164	466
714	1165	465
715	1166	463
716	1167	461
717	1168	459
718	1169	457
719	1171	456
720	1173	454
721	1174	453
722	1176	451
723	1177	449
724	1178	447
725	1179	445
726	1181	444
727	1182	442
728	1183	440
729	1185	438
730	1186	437
731	1187	435
732	1188	433
733	1189	431
734	1191	430
735	1192	428
736	1193	426
737	1194	424
738	1195	422
739	1197	421
740	1198	419
741	1199	417
742	1200	415
743	1201	413
744	1202	412
745	1204	410
746	1205	408
747	1206	407
748	1207	405
749	1208	403
750	1209	401
751	1210	399
752	1212	398
753	1213	396
754	1214	394
755	1215	392
756	1216	391
757	1217	389
758	1219	387
759	1220	385
760	1221	384
761	1222	382
762	1223	380
763	1224	378
764	1225	376
765	1226	375
766	1229	373
767	1230	372
768	1231	370
769	1232	368
770	1233	366
771	1234	365
772	1236	363
773	1237	361
774	1238	360
775	1239	358
776	1240	356
777	1241	354
778	1243	353
779	1244	351
780	1245	349
781	1246	348
782	1247	346
783	1248	344
784	1250	342
785	1251	341
786	1252	339
787	1253	337
788	1256	336
789	1257	334
790	1258	332
791	1259	331
792	1260	329
793	1261	327
794	1262	326
795	1263	324
796	1264	322
797	1266	320
798	1267	319
799	1268	317
800	1269	315
801	1270	314
802	1271	312
803	1272	310
804	1273	308
805	1274	307
806	1275	305
807	1276	303
808	1278	302
809	1278	300
810	1280	298
811	1280	296
812	1282	295
813	1284	293
814	1285	292
815	1286	290
816	1287	288
817	1288	287
818	1290	285
819	1291	283
820	1292	282
821	1293	280
822	1295	278
823	1296	277
824	1299	275
825	1302	274
826	1308	273
827	1309	272
828	1311	270
829	1312	269
830	1315	267
831	1316	266
832	1318	264
833	1320	263
834	1323	261
835	1325	260
836	1329	259
837	1330	257
838	1331	255
839	1332	254
840	1334	252
841	1337	251
842	1338	249
843	1339	247
844	1340	246
845	1342	244
846	1343	243
847	1344	241
848	1346	239
849	1347	238
850	1348	236
851	1349	234
852	1351	233
853	1352	231
854	1353	229
855	1354	228
856	1355	226
857	1356	224
858	1357	223
859	1358	221
860	1359	219
861	1361	218
862	1362	216
863	1363	214
864	1364	213
865	1365	211
866	1366	209
867	1367	208
